"TOKEN";"REFTEXT"
"MRAPTT";"MRAP"
"MRAPBT";"MRAP (Mine Resistant, Ambush Protected) are armoured personnel carriers that are specifically designed to withstand ambushes, mines or improvised explosive devices."
"MRAPET";"Units travelling inside an MRAP vehicle have a greater chance of survival when their vehicle is destroyed."
"SlatTT";"Standoff Armour"
"SlatBT";"Standoff Armour takes the form of rigid metal skirts fitted in front of the main armour of a vehicle. These skirts interfere with incoming HEAT warheads reducing their effectiveness."
"SlatET";"Standoff Armour provides additional Armour to the front and sides of a vehicle when hit by a HEAT weapon. Armour Values from 1-5 gain +3 Armour, 6-10 gain +2 Armour, >10 gain +1 Armour."
"PLSBNXSZEF";"Reactive Armour"
"PHHWJUIYKW";"Reactive Armour provides additional Armour to the front and sides of a vehicle when hit by a HEAT weapon. Armour Values from 1-5 gain +5 Armour, 6-10 gain +4 Armour, 10-15 gain +3 Armour, 16-20 gain +2 Armour, >21 gain +1 Armour."
"Therm1TT";"Thermal Sights"
"Therm1BT";"Thermal Sights use the infrared radiation emitted by objects to produce images showing temperature. These allow for targets to be more easily spotted."
"Therm1ET";"Thermal Sights provide a 10% aimtime reduction and one level of optics for non recon units."
"Therm2TT";"Advanced Thermals"
"Therm2BT";"Advanced Thermals use the infrared radiation emitted by objects to produce images like standard Thermal Sights but with increased resolution. This makes target acquisition easier."
"Therm2ET";"Advanced Thermals provide a 20% aimtime reduction and one level of optics for non recon units."
"UAV2TT";"Large UAV"
"UAV2BT";"This unit is an large Unmanned Aerial Vehicle, a drone piloted from the ground by an operator and used for reconnaissance or ground attack."
"UAV2ET";"Due to their small size and slow speed, UAVs are targeted by a weapons helicopter range rather than its aircraft range and enemies targeting a UAV have a penalty to their accuracy. In addition, UAVs do not suffer from stress. Large UAVs fly at high altitudes reducing the effectiveness of ground based AA systems."
"UAVTT";"UAV"
"UAVBT";"This unit is an Unmanned Aerial Vehicle, a drone piloted from the ground by an operator and used for reconnaissance or ground attack."
"UAVET";"Due to their small size and slow speed, UAVs are targeted by a weapons helicopter range rather than its aircraft range and enemies targeting a UAV have a penalty to their accuracy. In addition, UAVs do not suffer from stress and have greater stealth than a regular aircraft."
"APSTT";"APS"
"APSBT";"Active Protection System (APS) is a countermeasure device designed to defeat anti-tank weapons from destroying a vehicle."
"APSET";"Active Protection Systems provide +2 HP and reduce the chance of being hit by anti-tank missiles."
"RADTT";"Radar Vehicle"
"APSHK";"Active Protection System"
"APSHKDT";"Active Protection System (APS) is a countermeasure device designed to defeat anti-tank weapons from destroying a vehicle. These weapons will attempt to intercept incoming enemy missiles. Faster missiles are harder to intercept than slower missiles."
"APS";"APS"

"WF4InfUS";"4TH INFANTRY DIVISION"
"WF4InfUGS";"4TH INF. DIV."
"WF4INPRE";"PREMADE 4TH INF. DIV."
"WF34InfUS";"34TH INFANTRY DIVISION"
"WF34IUSG";"34TH INF. DIV."
"WF1ARMUS";"1ST ARMORED DIVISION"
"WF1ARUSG";"1ST ARM. DIV."

"M4A1";"M4A1"
"MK14EBR";"MK 14 EBR"
"MK48SAW";"MK 48"
"SCARH";"MK 17 SCAR-H"
"MK18CQB";"MK 18 CQB"
"M110";"M110 SASS"
"M72A4";"M72A4 LAW"
"MAAWS";"M3 MAAWS"
"FGMJav";"FGM-148C JAVELIN"
"FGMJavLW";"FGM-148E JAVELIN"
"AT4CSHEDP";"AT-4 CS HEDP"
"STINGERI";"STINGER RMP BLOCK I"
"STINPROX";"STINGER PROX"
"TOW2A";"TOW 2A"
"TOW2B";"TOW 2B"
"M68E4";"M68E4"
"K6120";"M120"
"K6120PGM";"M120 PGM"
"M777";"M777"
"M777M1";"M777 M1156"
"M777Ex";"M777 Excalibur"
"AGM114K";"AGM-114K HELLFIRE II"
"AGM114P";"AGM-114P HELLFIRE II"
"AGM114L";"AGM-114L HELLFIRE"
"APKWS14";"AGR-20 APKWS"
"ATASBLO2";"ATAS BLOCK II"
"M30CLU";"M30 GMLRS"
"M31GMLRS";"M31 GMLRS"
"610mm";"610mm"
"M39ATA";"M39 ATACMS"
"M48ATA";"M48 ATACMS"
"AIM120C";"AIM-120C AMRAAM"
"AIM120D";"AIM-120D AMRAAM"
"AIM9X";"AIM-9X"
"GBU31";"GBU-31"
"GBU32";"GBU-32"
"GBU38";"GBU-38"
"GBU54";"GBU-54"
"AGM88D";"AGM-88D HARM"
"CBU103";"CBU-103"
"GPS";"GPS/Inertial"
"GPSLAS";"GPS/SACLOS"
"AGM65H";"AGM-65H Maverick"
"PAXDOARDFT";"Anti-Radiation"
"GAU22A";"GAU-22/A"
"M240B";"M240B"
"XM914";"XM914"
"M284";"M284"
"M284Ex";"M284 Excalibur"
"MIM104";"MIM-104D"
"AGM154A";"AGM-154A JSOW"
"GBU57";"GBU-57A"
"Trophy";"TROPHY"

"WFStrRif";"MOT. RIFLES"
"WFStrDMR";"MOT. RIFLES (DMR)"
"WFStrAT4";"MOT. RIFLES (AT4)"
"WFStrHMG";"MOT. GUNNERS"
"WFStrEng";"MOT. ENGINEERS"
"WFMecEng";"ENGINEERS"
"WFMNGEng";"N.G. ENGINEERS"
"WFStrEAT";"MOT. ENGINEERS (AT4)"
"WFMecEAT";"ENGINEERS (AT4)"
"WFMNGEAT";"N.G. ENGINEERS (AT4)"
"WFStrCMD";"#CMD MOT. RIFLES LDR."
"WFSNGCMD";"#CMD N.G. RIFLES LDR."
"WFStrECD";"#CMD ENGINEERS LDR."
"WFSNGECD";"#CMD N.G. ENGINEERS LDR."
"WFMecRif";"MECH. RIFLES (JAVELIN)"
"WFMecAT4";"MECH. RIFLES"
"WFMecLDR";"#CMD MECH. RIFLES LDR."
"WFMNGRif";"N.G. MECH. RIFLES (JAVELIN)"
"WFMNGAT4";"N.G. MECH. RIFLES"
"WFMNGLDR";"#CMD N.G. MECH. RIFLES LDR."
"WFRIFWEP";"N.G. WEAPONS TEAM"
"WFRIFDMR";"N.G. LIGHT RIFLES (DMR)"
"WFRIFAT4";"N.G. LIGHT RIFLES"
"WFRIFAER";"N.G. AERO RIFLES"
"WFFGMJav";"JAVELIN"
"WFRanLAW";"RANGERS"
"WFRanMMG";"RANGER GUNNERS"
"WFRanJAV";"RANGERS JAVELIN"
"WFTow2A";"TOW-2A"
"WFTow2B";"TOW-2B"
"WFTow2BN";"N.G. TOW-2B"
"WFTow2AN";"N.G. TOW-2A"
"WFSCTNGJ";"#RECO2 N.G. SCOUTS (JAVELIN)"
"WFSctJav";"#RECO2 SCOUTS (JAVELIN)"
"WFSNING1";"#RECO2 N.G. SNIPER"
"WFRSTAUS";"#RECO3 RSTA"
"WFRSTANG";"#RECO3 N.G. RSTA"
"WFMPPATR";"MP COMBAT PATROL"
"WFSTIBLO";"STINGER E"
"WFSTIBNG";"N.G. STINGER E"
"WFSTING2";"N.G. STINGER"
"WFSTIPRO";"STINGER J"
"WFAVENG2";"N.G. M998 AVENGER E"
"WFAVENGE";"M998 AVENGER E"
"WFAVENGK";"M998 AVENGER K"
"WFSTRCMD";"#CMD M1130 CV"
"WFSTRICV";"M1126 ICV"
"WFSTRAGL";"M1126 ICV Mk.19"
"WFSTRJAV";"M1126 ICV CROWS-J"
"WFSTRDRA";"M1129 ICV DRAGOON"
"WFSTRMGS";"M1128 MGS"
"WFSTRMG2";"M1128 MGS SLAT"
"WFSTRMCV";"M1129 MC"
"WFSTRMPG";"M1129 MC (PGM)"
"WFSTRTOW";"M1134 ATGM"
"WFSTRTO2";"M1253 ATVV"
"WFSTRRCV";"#RECO3 M1127 RV"
"WFSTRMSH";"M-SHORAD"
"WFSTRMSA";"M-SHORAD HELLFIRE"
"WF777HNG";"N.G. M777"
"WFL18NG1";"M119"
"WF777HE1";"M777"
"WF777PGK";"M777A2 (PGK)"
"WFAPAD16";"AH-64D LONGBOW"
"WFAPADNG";"N.G. AH-64D LONGBOW"
"WFAPADUS";"N.G. AH-64D APACHE"
"WFAPARK2";"N.G. AH-64D APACHE [RKT]"
"WFAPAEUS";"AH-64E APACHE"
"WFAPARKT";"AH-64E APACHE [RKT]"
"WFAPAATA";"AH-64E APACHE [ATAS]"
"WFAPAERE";"#RECO2 AH-64E APACHE"
"WFMRLCLU";"M270A1 MLRS [CLU]"
"WFMRLHE1";"M270A1 MLRS [HE]"
"WFHIMATA";"M142 ATACMS [CLU]"
"WFHIMAHE";"M142 ATACMS [HE]"
"WFHIMMRL";"M142 HIMARS [CLU]"
"WFHIMMNG";"N.G. M142 HIMARS [CLU]"
"WFM10NGT";"N.G. M1025 HUMVEE TOW"
"WFM10NGB";"N.G. M1025 HUMVEE TOW-2B"
"WFHUMTOW";"M1045 HUMVEE TOW-2A"
"WFHUMTO2";"M1045 HUMVEE TOW-2B"
"WFSTREAG";"F-15E STRIKE EAGLE [PGM]"
"WFF16SEA";"F-16CM [SEAD]"
"WFF16CBU";"F-16C [CLU]"
"WFF16LGB";"F-16C [PGM]"
"WFA10MAV";"A-10C [AT]"
"WFA10JDA";"A-10C [PGM]"
"WFF22RAP";"F-22A RAPTOR [AA1]"
"WFF22RA2";"F-22A RAPTOR [AA2]"
"WFF22JDA";"F-22A RAPTOR [PGM]"
"WFF35AA1";"F-35A LIGHTNING II [AA1]"
"WFF35AA2";"F-35A LIGHTNING II [AA2]"
"WFF35JDA";"F-35A LIGHTNING II [PGM1]"
"WFF35JD2";"F-35A LIGHTNING II [PGM2]"
"WFF18ECM";"EA-18G GROWLER [SEAD]"
"WFMQ1REC";"#RECO3 MQ-1C GRAY EAGLE"
"WFMQ1ATG";"#RECO3 MQ-1C GRAY EAGLE [ATGM]"
"WFRQ7UAV";"#RECO3 RQ-7B SHADOW"
"WFHMBCMD";"#CMD M1042 HUMVEE CP"
"WFHUMAPC";"M1097 HUMVEE"
"WFHUMM13";"M1114 HUMVEE"
"WFHUMSUP";"M1097 HUMVEE SUPPLY"
"WFMATHMG";"M1240A1 M-ATV PATROL"
"WFMATMPT";"M1240A1 M-ATV MP"
"WFMATAPC";"M1240A1 M-ATV"
"WFMATREC";"#RECO2 M1277 M-ATV"
"WFHUMNGA";"#RECO1 M1114 HUMVEE AGL"
"WFHUMNGH";"#RECO1 M1114 HUMVEE"
"WFHMG240";"M240B 7,7mm"
"WFHNG240";"N.G. M240B 7,7mm"
"WF81mMOR";"M252 81mm"
"WFM2BODS";"M2A2 BRADLEY ODS"
"WFM2BNGS";"N.G. M2A2 BRADLEY ODS"
"WFM2BNG2";"N.G. M2A2 BRADLEY"
"WFM2BA4A";"M2A4 BRADLEY"
"WFM2BA3A";"M2A3 BRADLEY"
"WFM2BA3B";"M2A3 BRADLEY BUSK"
"WFM3BNGA";"#RECO2 N.G. M3A2 BRADLEY CFV"
"WFM3BA3A";"#RECO2 M3A3 BRADLEY CFV"
"WFM3BA3B";"#RECO2 M3A3 BRADLEY CFV TOW-2B"
"WFM2BCMD";"M3A3 BRADLEY CP"
"WFM7BFIS";"#RECO3 M7A3 BFIST"
"WFM1ASV2";"M1A2B SEPV2"
"WFM1ATU2";"M1A2B TUSK"
"WFM1ACP1";"#CMD M1A2B CP"
"WFM1ASV3";"M1A2C ABRAMS"
"WFM1ATU3";"M1A2C ABRAMS TROPHY"
"WFM1ACP2";"#CMD M1A2C CP"
"WFM1HCMD";"#CMD N.G M1A1(HA) CP"
"WFM1HCM2";"#CMD N.G M1A1 SA CP"
"WFM1ANG1";"N.G M1A1"
"WFM1HNG1";"N.G M1A1(HA)"
"WFM1HNG2";"N.G M1A1 SA"
"WF109PNG";"N.G. M109A6 PALADIN"
"WF109PAL";"M109A6 PALADIN"
"WF109EXC";"M109A6 PALADIN [PGM]"
"WFMor106";"M1064A3"
"WFABVM15";"M1150 ABV"
"WFABVMNG";"N.G. M1150 ABV"
"WFMIMPAT";"MIM-104 PATRIOT"
"WFB2SJDA";"B-2 SPIRIT"
"WFB2SJSO";"B-2 SPIRIT [JSOW]"
"WFB2SMOP";"B-2 SPIRIT [MOP]"
"WFCOU6NG";"N.G. COUGAR HE"
"WFHEMTRA";"M977 HEMTT"
"WFMTVTRA";"M1083A1 MTV"
"WFMTVSUP";"M1083A1 MTV SUPPLY"
"WFLMVTRA";"M1078A1 LMTV"
"WFLMVSUP";"M1078A1 LMTV SUPPLY"


"WF2BBFRA";"2E BRIGADE BLINDEE"
"WF6BBFRA";"6E BRIGADE LEGERE BLINDEE"
"WFMotBEL";"MOTORISED BRIGADE"

"40mm";"40mm"
"90mmHEAT";"90mm HEAT"
"CN120";"CN120-26/52"
"M81125";"M811"
"40CTC";"40CTC"
"MMP";"MMP"
"2R2M120";"2R2M"
"VT1";"VT-1"
"ASTER30";"ASTER 30"
"HK416";"HK416"
"SCARHPR";"SCAR-H PR"
"Hecate2";"FR-12,7"
"AT4CS";"AT4-CS"
"AT4CSER";"AT4-CS ER"
"AT4F2";"AT4-CS F2"
"AT4CSHE";"AT4-CS HE"
"MILAN3";"MILAN 3"
"MILANER";"MILAN ER"
"HOT3";"HOT 3"
"Mistral3";"MISTRAL 3"
"M781";"M781"
"M791";"M791"
"MICAIR";"MICA-IR"
"MICANG";"MICA-IR NG"
"MICAEM";"MICA-EM"
"Meteor";"Meteor"
"AASM250";"AASM 250"
"SCALP";"SCALP EG"
"GBU50";"GBU-50"
"LVHDNFYIJK";"DEFA 553"
"COCKMK8";"MK.8 COCKERILL"
"BUSHMK2";"MK.44 BUSHMASTER II"
"SCARL";"SCAR-L"
"MATA";"MATADOR"
"MATAAS";"MATADOR AS"
"M72EC";"M72 EC"
"SpikeMR";"SPIKE MR"
"SpikeLR";"SPIKE LR"
